Precursor Mass,Retention Time,Observation Confidence,Average Observation Score,Compound
continuous,continuous,continuous,continuous,string
,,,,meta
393.2093,2.66,0.763008375031,0.763008375031,C06848
298.115,8.06,0.75,0.75,C05342
360.1246,10.71,0.743135255534,0.743135255534,C06564
267.0649,13.76,0.785555087907,0.785555087907,C18252
335.0748,15.41,0.900989474204,0.900989474204,C04703
426.0458,11.18,0.6,0.6,C00068
269.0953,5.19,0.670144827057,0.670144827057,C14576
434.1253,9.6,0.75,0.75,C12137
104.1082,16.96,0.26,0.26,C00114
345.1126,11.36,0.75,0.75,C06922
90.0562,9.95,0.41,0.205,C00041
