Precursor Mass,Retention Time,Dataset,Source,Peak Name,HMDB Compounds,HMDB Fits,Metlin Compounds,Metlin Scores,MetFrag Compounds,MetFrag Scores
continuous,continuous,string,string,continuous,string,string,string,string,string,string
,,meta,meta,meta,meta,meta,meta,meta,meta,meta
382.1357,10.88,HilNeg 03/24,,,,,,,"C18491, C20887, C00611, C19784, C07278, C06372","0.78436754176611, 0.70232220869047, 0.70232220869047, 0.379050317749193, 0.33871641615245, 0.33871641615245"
253.1183,9.56,HilNeg 03/24,,,,,,,C07890,0.0
204.0675,14.17,HilNeg 03/24,,,,,"C02043, C05660","70.0, 27.0","C02043, C09961, C05660, C10741","0.752725558367394, 0.75, 0.450874256988505, 0.0644915232822993"
227.2026,34.91,HilNeg 03/24,,,,,,,C06424,0.0
449.1668,11.71,HilNeg 03/24,,,,,,,C15080,0.75
319.0989,11.72,HilNeg 03/24,,,,,,,C14223,0.75
144.0658,12.92,HilNeg 03/24,,,,,,,"C03656, C02946, C05825, C04076","0.75, 0.0769068981304323, 0.0679035480466802, 0.0679035480466802"
281.1092,9.68,HilNeg 03/24,,,,,,,C15084,0.0
497.2221,9.69,HilNeg 03/24,,,,,,,C07704,0.75
629.1432,10.28,HilNeg 03/24,,,,,,,C03691,0.75
384.254,9.2,HilNeg 03/24,,,,,C12056,1.0,,
166.051,8.01,HilNeg 03/24,,,,,C00250,48.0,"C20821, C14171, C14170, C05831, C00250, C06051, C03986, C12323, C03493","0.817686394271272, 0.812547942507965, 0.812547942507965, 0.804834168287241, 0.80459722641698, 0.794540360368117, 0.781513268744735, 0.752632687447346, 0.75"
360.9932,10.72,HilNeg 03/24,,,,,,,C07870,0.0
101.061,10.23,HilNeg 03/24,,,,,,,"C18319, C08262, C00803","0.0, 0.0, 0.0"
115.0039,20.37,HilNeg 03/24,,,"C00122, C01384","0.4, 0.4",,,"C01384, C00122, C02150","0.75, 0.75, 0.0"
419.1192,10.73,HilNeg 03/24,,,,,,,C14918,0.75
332.1268,11.11,HilNeg 03/24,,,,,,,C11341,0.75
280.1063,13.61,HilNeg 03/24,,,,,,,"C02494, C05031","0.75, 0.571782938862307"
193.0543,11.27,HilNeg 03/24,,,C10470,0.36,,,C15347,0.75
377.084,9.95,HilNeg 03/24,,,,,,,C06869,0.75
486.163,11.1,HilNeg 03/24,,,,,,,C13760,0.75
176.0565,12.68,HilNeg 03/24,,,,,,,"C06034, C20844, C20845, C17576","0.798326996262832, 0.75, 0.537655653516722, 0.218896719183453"
143.035,8.39,HilNeg 03/24,,,,,,,"C02930, C02295, C01757, C00922, C19821, C19826, C19822","0.903114186851211, 0.903114186851211, 0.903114186851211, 0.903114186851211, 0.75, 0.0, 0.0"
721.4368,2.59,HilNeg 03/24,,,,,,,"C17437, C04146, C03427","0.0, 0.0, 0.0"
235.0738,9.49,HilNeg 03/24,,,,,,,"C19717, C15605, C02700, C18255, C18249","0.817665110650069, 0.473112333766132, 0.473112333766132, 0.019051207172171, 0.019051207172171"
360.0688,9.61,HilNeg 03/24,,,,,,,C11024,0.75
386.2154,9.36,HilNeg 03/24,,,,,,,"C16544, C16545, C14296, C05011","0.81452798314096, 0.787534655576882, 0.745524310373259, 0.745524310373259"
294.1219,9.5,HilNeg 03/24,,,,,,,C15094,0.75
401.0744,18.44,HilNeg 03/24,,,,,,,C04352,0.75
345.1227,9.73,HilNeg 03/24,,,,,,,"C11671, C09771","0.75, 0.531576797220711"
299.0794,15.19,HilNeg 03/24,,,,,,,"C03993, C11351, C04812","0.75, 0.116751084237417, 0.113864581524105"
262.1126,9.4,HilNeg 03/24,,,,,,,C16594,0.75
338.1267,11.18,HilNeg 03/24,,,,,,,C11152,0.0
