Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Y_C00234, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00235, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00236, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00237, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00242, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00246, 0.94, 0.237486841741, 0.0237486841741, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00249, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00250, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00252, 0.01, 0.0994987437107, 0.00994987437107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00253, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00255, 0.01, 0.0994987437107, 0.00994987437107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00256, 0.97, 0.170587221092, 0.0170587221092, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00257, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00258, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00259, 0.01, 0.0994987437107, 0.00994987437107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00262, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00265, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00267, 0.98, 0.14, 0.014, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00268, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00269, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00270, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00272, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00275, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00279, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00280, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00283, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00294, 0.97, 0.170587221092, 0.0170587221092, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00295, 0.01, 0.0994987437107, 0.00994987437107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00300, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00301, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00307, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00310, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00311, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00312, 0.02, 0.14, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00314, 0.96, 0.195959179423, 0.0195959179423, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00315, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00318, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00320, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00322, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00325, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00327, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00328, 0.97, 0.170587221092, 0.0170587221092, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00329, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00330, 0.98, 0.14, 0.014, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00331, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00332, 0.99, 0.0994987437107, 0.00994987437107, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00334, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00337, 0.01, 0.0994987437107, 0.00994987437107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00339, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00340, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00341, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00342, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00343, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00345, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00346, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00349, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00350, 0.61, 0.48774993593, 0.048774993593, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00352, 0.98, 0.14, 0.014, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00353, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00354, 0.98, 0.14, 0.014, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00356, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00366, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00369, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00370, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00376, 0.02, 0.14, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00378, 0.01, 0.0994987437107, 0.00994987437107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00379, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00381, 0.01, 0.0994987437107, 0.00994987437107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00385, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00386, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00387, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00388, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00401, 0.56, 0.49638694584, 0.049638694584, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
Y_C00402, 0.96, 0.195959179423, 0.0195959179423, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00404, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00407, 0.94, 0.237486841741, 0.0237486841741, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00408, 0.97, 0.170587221092, 0.0170587221092, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
